SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 690600
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 799200
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 93944900
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 93103000
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 96168400
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 93624600
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 104077900
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 39200
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 207828300
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 39400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 14152600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 300549700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 207355200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 303640300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 9672100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 303659400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 214630100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 302474100
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1135300
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 700300
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 561300
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 819700
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 93844100
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 94336100
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 95340900
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 96002200
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 105568100
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 59700
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 208065300
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 76200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 9860300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 304740600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 228135600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 277892300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 14104600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 300213100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 210209100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 286239400
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1490700
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 930800
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 538700
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 778000
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 93614600
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 93027800
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 95585300
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 93084600
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 104477500
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 38100
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 207070500
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 37900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 9847000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 301999800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 213498300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 304292200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 9668500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 280494800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 231232500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 274861900
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1119900
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 701700
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 528800
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 1083400
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 93832800
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 94282500
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 96159500
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 94082600
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 105292900
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 44200
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 209194200
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 62200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 10093300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 303552100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 201632000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 280187900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 9913900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 303037000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 210425400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 301333900
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1139700
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 803400
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 527500
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 841800
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 93870200
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 93507500
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 96158500
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 93285500
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 104918900
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 43100
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 227625300
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 38600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 9782100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 310413600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 230822100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 273959600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 14374400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 299922500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 204073500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 282807300
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1148400
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 669300
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 535100
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 774800
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 95161700
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 93561200
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 95717000
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 93196000
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 104552500
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 67800
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 207731600
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 55100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 9809900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 301452600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 211532800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 309072300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 10392500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 281565800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 229679600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 295794000
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1159100
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 958000
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 596400
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 772900
SelectionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 94089100
SelectionSort Algorithm, Ascending Data, N = 6000, T[ns] = 93787600
SelectionSort Algorithm, Descending Data, N = 6000, T[ns] = 97521100
SelectionSort Algorithm, Constant Data, N = 6000, T[ns] = 93897600
InsertionSort Algorithm, Random Uniform Data, N = 6000, T[ns] = 106498700
InsertionSort Algorithm, Ascending Data, N = 6000, T[ns] = 37700
InsertionSort Algorithm, Descending Data, N = 6000, T[ns] = 207716800
InsertionSort Algorithm, Constant Data, N = 6000, T[ns] = 48000
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6000, T[ns] = 10341800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6000, T[ns] = 301717900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6000, T[ns] = 201911200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6000, T[ns] = 281893100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6000, T[ns] = 9566700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6000, T[ns] = 302487400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6000, T[ns] = 208199700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6000, T[ns] = 308183200
std::sort Algorithm, Random Uniform Data, N = 6000, T[ns] = 1333700
std::sort Algorithm, Ascending Data, N = 6000, T[ns] = 693800
std::sort Algorithm, Descending Data, N = 6000, T[ns] = 549600
std::sort Algorithm, Constant Data, N = 6000, T[ns] = 857800
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110328100
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 110182200
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 112920600
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 111310400
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 122304700
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 56800
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 243934200
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 60900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 11435900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 363931300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 271533800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 331379200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 10982500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 355185100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 256184700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 363562700
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1246200
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 751500
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 580200
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 840200
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110715800
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 111035600
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 113113900
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 111889600
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 121432000
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 59200
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 247733100
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 41200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 10586600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 336002300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 275766500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 329457000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 15615600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 354563300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 255775000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 353294200
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1570800
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 782400
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 571200
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 847100
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 109889800
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 109242800
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 112977000
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 112670900
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 122459200
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 60500
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 244058900
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 41300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 14211900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 341673100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 274918500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 329703200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 15059500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 354147700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 248132000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 336797600
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1364300
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 742600
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 574700
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 835900
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110805400
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 109341800
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 112685500
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 109715000
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 121624500
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 60400
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 246446800
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 48000
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 11154600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 361394100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 273590500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 328955600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 15462400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 356576300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 243968200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 333054400
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1409300
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 850200
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 573200
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 841900
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110197400
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 112791500
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 111854500
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 109503200
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 121784900
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 41600
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 245983600
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 41400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 11243100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 356064000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 262301500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 355481800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 11193800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 337397500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 275134400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 344704400
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1551400
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 943700
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 651600
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 841100
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 117831000
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 114323500
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 112919500
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 111991500
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 121226700
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 54400
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 247451300
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 42700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 10645600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 382190500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 285206400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 359426100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 10474300
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 341786100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 270717900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 329397600
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1262700
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 687100
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 920900
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 897700
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110287700
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 109825000
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 113545800
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 109460200
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 127008600
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 82500
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 244362600
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 59000
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 10722700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 355749900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 256128600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 355549500
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 11495600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 336397200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 274858900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 331892300
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1406500
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 877800
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 800500
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 1177300
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 124641600
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 110428700
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 116020300
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 110429300
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 123896400
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 42900
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 242866500
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 61700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 10992200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 365977800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 293258000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 369824400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 10764000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 362469700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 305566300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 329701800
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1281000
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 687900
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 571600
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 835900
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110935900
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 116423500
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 114394400
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 113074300
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 123743700
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 58900
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 243315900
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 41400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 16457700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 364229800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 276046800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 348135500
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 10846900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 363208700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 273038100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 343076400
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1338800
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 690600
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 570600
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 838000
SelectionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 110884100
SelectionSort Algorithm, Ascending Data, N = 6500, T[ns] = 109530000
SelectionSort Algorithm, Descending Data, N = 6500, T[ns] = 123516100
SelectionSort Algorithm, Constant Data, N = 6500, T[ns] = 138166200
InsertionSort Algorithm, Random Uniform Data, N = 6500, T[ns] = 172797200
InsertionSort Algorithm, Ascending Data, N = 6500, T[ns] = 69900
InsertionSort Algorithm, Descending Data, N = 6500, T[ns] = 271622100
InsertionSort Algorithm, Constant Data, N = 6500, T[ns] = 59300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 6500, T[ns] = 13560800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 6500, T[ns] = 405863100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 6500, T[ns] = 260715500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 6500, T[ns] = 344753000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 6500, T[ns] = 11290000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 6500, T[ns] = 374588500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 6500, T[ns] = 261662500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 6500, T[ns] = 366663100
std::sort Algorithm, Random Uniform Data, N = 6500, T[ns] = 1258200
std::sort Algorithm, Ascending Data, N = 6500, T[ns] = 837600
std::sort Algorithm, Descending Data, N = 6500, T[ns] = 580100
std::sort Algorithm, Constant Data, N = 6500, T[ns] = 1063100
SelectionSort Algorithm, Random Uniform Data, N = 7000, T[ns] = 127851600
SelectionSort Algorithm, Ascending Data, N = 7000, T[ns] = 127987800
SelectionSort Algorithm, Descending Data, N = 7000, T[ns] = 132094800
SelectionSort Algorithm, Constant Data, N = 7000, T[ns] = 128061700
InsertionSort Algorithm, Random Uniform Data, N = 7000, T[ns] = 145938900
InsertionSort Algorithm, Ascending Data, N = 7000, T[ns] = 44300
InsertionSort Algorithm, Descending Data, N = 7000, T[ns] = 293172300
InsertionSort Algorithm, Constant Data, N = 7000, T[ns] = 44200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 7000, T[ns] = 18713500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 7000, T[ns] = 416310700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 7000, T[ns] = 285448900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 7000, T[ns] = 383572000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 7000, T[ns] = 12980600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 7000, T[ns] = 415333300
